album,Marie,Jean,Pierre,Michel,André,Jeanne,Philippe,Louis,René,Alain,Jacques,Bernard,Marcel,Daniel,Roger,Paul,Robert,Claude,Henri,Christian,Nicolas,Georges,Françoise,Monique,François,Patrick,Catherine,Nathalie,Gérard,Isabelle,Joseph,Christophe,Jacqueline,Sylvie,Anne,Julien,Maurice,Laurent,Frédéric,Martine,Eric,David,Stéphane,Pascal,Madeleine,Sébastien,Alexandre,Nicole,Suzanne,Thierry,Hélène,Christine,Olivier,Antoine,Thomas,Raymond,Louise,Marguerite,Guy,Denise,Christiane,Yvonne,Valérie,Sophie,Dominique,Charles,Sandrine,Céline,Stéphanie,Marc,Didier,Véronique,Vincent,Chantal,Yves,Marcelle,Guillaume,Renée,Maxime,Bruno,Simone,Jeannine,Andrée,Julie,Paulette,Germaine,Annie,Patricia,Lucie,Camille,Yvette,Brigitte,Léa,Alice,Emilie,Odette,Geneviève,Aurélie,Laurence,Michèle
"a.r. kane - ""i""",,,,,,4.0,3.5,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,3.0,,,3.5,,,,,,,,,,,3.5,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
aaron dilloway & lucrecia dalt - lucy & aaron,,4.0,,,,,,,4.0,4.5,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
aaron dilloway - modern jester,,3.5,,,2.5,,,,3.5,,,3.5,,,,,,,,,5.0,,,,3.5,3.5,,,,3.0,,,,,,,,,,4.0,,,,,,,,,,,,,,2.5,,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.5,,2.5,,,,,,,,
aaron dilloway - the gag file,,,,,,,,,3.5,,,3.5,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.5,,,,,,,,,,
abba - abba gold: greatest hits,4.0,,,,,,4.5,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.5,,,,,,,,,4.0,,4.0,4.0,,,,,4.0,,,,,,
abe vigoda - reviver,,,,,,,,,,,,4.0,,,,,,2.5,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,
"abilene - two guns, twin arrows",,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3.5,,,,,,
abwärts - amok koma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,3.5,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,
aby ngana diop - liital,4.0,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,
acetantina - temple of null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,4.0,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acid mothers temple & the melting paraiso u.f.o. - univers zen ou de zéro à zéro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,
actress - 88,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
actress - azd,,3.0,,,,,,,,,,3.0,,,,,,,,,,,4.0,,3.5,3.5,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,2.5,,,,,,,,4.0,3.5,,,,,3.0,3.0,,,,3.5,,,,,,,,,,,,,,,
actress - r.i.p,,3.5,,,,,,,,,,3.5,,,,,,,,,,,4.0,,3.5,4.0,,,,3.0,3.5,2.5,,,,,,,,,,,,,,,,,,,3.5,,,,,3.0,,,,,,,3.0,,3.5,3.0,3.5,,,,4.0,,,3.5,4.0,,,,,3.0,,,,,3.5,,,,,,,,,,,,,3.5,,3.5
actress - splazsh,,,,3.0,,4.0,,,,,,3.5,,,,,,,,,,,4.5,,4.0,3.5,,3.5,,3.0,3.5,,,,,,,3.5,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,,4.0,3.0,3.0,,,,3.5,,,3.0,4.0,,,,,3.5,3.0,,,,3.0,,,,,,,,,,,,,,,3.5
add n to (x) - avant hard,,,,,,,,,,,,,,,,,,,,,,3.5,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,3.5,,,,,,,,,,,,,3.0,,,,,,,,,,
adolescents - adolescents,,,,,,3.5,4.0,,3.5,,,,,,,,,4.0,,,,,4.5,,4.0,,,,,3.5,,,,3.5,3.5,4.0,4.0,,4.5,,,,,,,,,,4.5,3.0,4.0,,,,,,,,,,,3.0,,,4.0,,2.5,,4.0,,,,,,,,4.0,,4.0,,4.0,,,,3.0,,,,,,4.5,,,,,,,,,
adonis & młody π - w strefie dyskomfortu,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.5,,,,,,,,,,,,3.0
adonis - w przyrodzie tkwi wróżba (zatarty w nas obłęd),,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,4.0,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adonis - wiosenna ofensywa nie trwa dłużej niż do letnich wakacji,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,3.5,,,,,,,,,,,,,3.5,,,,,,4.0,,,,,,3.5
adrianne lenker - abysskiss,3.0,,,4.0,,,,,,,3.0,4.0,,,,,,,,,,,,,3.5,,,,,3.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.5,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,5.0,,,,,,,,,3.0
adrianne lenker - songs,,2.0,,4.0,,,,,,,3.5,4.0,4.5,4.0,,,,,,,,,,,3.0,,,3.0,,3.5,3.5,3.0,4.0,,,,,,,,,,,,,,3.5,,,,,,,,,3.0,,,,,,3.5,2.5,,,,,4.0,,,,,4.0,,4.0,,,,,,,,,,3.5,,,,,,,,,,,,,,,
aesop rock - labor days,,,,,,,,,,,,,,,,3.0,,,,,,,4.5,,3.5,,,,,,,2.0,,,,,,,,3.5,,,,,,3.0,,,4.5,,,,,,,4.0,,,,,,,4.0,,,,3.5,,,,3.5,,,3.5,,,3.5,,,,4.0,,4.0,,,,2.5,,,,,,,2.5,,,4.0,,,
aesop rock - the impossible kid,3.0,,,,,,,,,,3.5,4.0,,,4.0,,,,,,,,4.0,,3.0,,,,,3.5,,,,,,,,2.0,,,,,,,,4.0,,,4.5,3.0,,,,,,3.5,,,,,,,,,,,3.5,,3.0,,,,,,,,,,,3.0,3.5,,3.5,,,,3.5,,,,,,,2.5,,,4.0,,,3.0
afx - chosen lords,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,4.0,,,,3.5,,,,,,,,,,,,,,,
against all logic - 2012 - 2017,3.5,2.5,3.5,4.0,,3.5,4.0,,,3.0,4.0,4.0,,,,4.5,,,,,,,4.0,,3.0,3.5,,,,3.5,3.0,3.0,,3.5,3.5,,3.5,3.5,,4.0,,,,,,,4.5,,,,,,4.0,,,3.5,3.5,2.5,,,,4.0,4.5,,4.5,4.0,4.0,,3.0,,4.0,,,3.5,3.5,3.0,,,,3.0,3.5,4.0,4.0,,3.5,4.0,3.5,,,3.0,,,3.5,4.0,,,,4.0,,4.0
against all logic - 2017 - 2019,3.5,2.0,4.0,3.5,,3.0,4.5,,,,3.5,3.5,,4.0,,,,,,,,,4.5,,3.0,3.0,,3.0,,4.0,,,4.0,4.0,,3.0,,2.5,,4.0,,,,3.0,,,4.0,,,,,3.5,,,,4.0,3.0,3.0,,,,3.5,3.5,,4.0,4.0,4.0,2.5,3.0,,4.0,,3.5,,4.0,3.0,,2.0,,3.0,4.0,3.5,3.5,,4.0,,3.5,,,,,,,4.0,,,3.5,4.5,,4.0
