album,Marie,Jean,Pierre,Michel,André,Jeanne,Philippe,Louis,René,Alain,Jacques,Bernard,Marcel,Daniel,Roger,Paul,Robert,Claude,Henri,Christian,Nicolas,Georges,Françoise,Monique,François,Patrick,Catherine,Nathalie,Gérard,Isabelle,Joseph,Christophe,Jacqueline,Sylvie,Anne,Julien,Maurice,Laurent,Frédéric,Martine,Eric,David,Stéphane,Pascal,Madeleine,Sébastien,Alexandre,Nicole,Suzanne,Thierry,Hélène,Christine,Olivier,Antoine,Thomas,Raymond,Louise,Marguerite,Guy,Denise,Christiane,Yvonne,Valérie,Sophie,Dominique,Charles,Sandrine,Céline,Stéphanie,Marc,Didier,Véronique,Vincent,Chantal,Yves,Marcelle,Guillaume,Renée,Maxime,Bruno,Simone,Jeannine,Andrée,Julie,Paulette,Germaine,Annie,Patricia,Lucie,Camille,Yvette,Brigitte,Léa,Alice,Emilie,Odette,Geneviève,Aurélie,Laurence,Michèle
minutemen - what makes a man start fires?,,,,,,4.0,,,4.0,,,4.5,,,,,,4.0,,,,,4.5,4.5,4.0,,,,,3.5,,,,3.5,4.5,,,,,,,,,,,3.5,,,4.0,,4.0,,,,,,,,,,,4.0,4.0,3.0,3.5,3.5,,,4.0,,,,,,,,3.5,,,,3.5,,,,,,,,,,,,,3.5,,,,4.5,,
misfits - walk among us,,,,3.0,4.0,3.5,,,,,,4.0,,,,3.5,,4.0,,,,3.5,4.5,4.5,4.0,,,,,,,,,3.5,,,,,4.5,,,,,,,,,,,,,,,,,4.5,,,,,,3.0,4.5,,3.0,,3.0,,,4.0,,,,,,,4.0,,,,5.0,,,,2.5,,,,,,4.5,,,,,,,,,
"mission of burma - signals, calls, and marches",4.0,,,3.5,,4.5,4.0,,,,4.0,4.5,,,,4.0,,4.0,,,,3.5,,4.5,3.5,,,4.0,,3.0,,4.0,,3.5,3.5,,,3.0,4.5,,,,,,,4.5,,,,4.0,,,,,,,4.0,,3.5,4.0,4.0,3.5,4.0,3.5,4.5,3.5,4.0,,4.0,,4.0,,,3.5,3.5,,4.5,,,3.5,3.5,,,,4.0,4.5,3.5,,,3.5,5.0,4.5,,4.0,,,,,,
mission of burma - vs.,,,4.5,3.5,,4.5,4.5,,,,,4.0,,,,3.5,,,,,3.5,4.0,4.5,4.5,3.5,,,3.0,,4.0,,4.0,,4.0,4.0,3.5,,3.5,4.5,4.0,,,,,,3.5,,,,3.0,3.5,,,,,,3.5,,,4.0,,3.5,4.5,3.5,4.5,3.5,4.0,,4.0,,3.5,,,3.5,3.5,,4.5,,3.0,,4.0,,,,3.0,4.0,3.5,,,3.5,5.0,3.0,,3.5,,,,,,
mississippi john hurt - avalon blues: the complete 1928 okeh recordings,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,3.5,,,,,,,,,,,,,,
mitski - be the cowboy,4.0,1.5,3.5,4.0,,3.5,,3.5,,,2.5,3.5,,4.0,3.0,,,,,3.5,,,3.5,,4.0,3.0,,2.5,,3.5,,,,4.0,,,,3.0,,2.5,,,,,,,4.0,,,,,,,,,4.0,3.5,4.0,,,,4.0,,,,3.5,3.0,,3.0,,3.0,,,,3.0,,2.5,,,,,4.0,3.5,,,3.5,3.0,,3.0,,4.5,,3.0,,,,,,5.0,3.0
mitski - bury me at makeout creek,,4.0,4.0,,,3.5,,4.0,3.0,,,,,5.0,,,,,,4.0,,,4.5,,3.5,4.0,,,,3.0,3.0,3.5,,3.5,,,,3.0,,,,,,,,,,,,,,4.0,,,,,,3.5,,,,3.5,,,2.5,2.5,4.0,,3.0,,,,,,,3.0,,,,,,4.0,4.0,,,,3.5,,3.0,,4.5,,,,,,,,5.0,
mitski - lush,,2.5,,,,,,3.0,,,,,,,,,,,,,,,,,3.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
mitski - puberty 2,3.0,3.5,4.0,3.5,,4.0,,3.5,,,,3.5,,4.5,,,,,,3.5,,,4.0,,3.5,4.0,,,,,3.0,3.0,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,3.0,4.0,3.0,,4.5,,3.5,,,3.5,3.0,4.5,,,,,,,,3.0,,,,,,,,4.0,,,3.5,3.5,,2.5,,4.5,,,3.5,,,,,5.0,3.0
"mitski - retired from sad, new career in business",,2.5,,,,,,3.0,,,,,,,,,,,,3.0,,,,,,3.5,3.5,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
mlody kotek & niemy dotyk - new age speedball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
mobb deep - the infamous,,,,,,4.5,4.0,,,4.5,,3.5,,,,4.5,,,,,,,4.5,,4.0,,,3.5,,3.5,4.5,3.5,,3.5,2.0,1.5,,3.5,,4.0,3.5,,,,,4.0,,,,4.0,,,,,,3.5,,3.5,,,,,,,,4.0,,,,,4.0,,,4.0,4.0,3.0,4.0,,,,,3.5,,,4.0,4.5,4.0,,,,,,,4.0,,,,,,4.0
moderat - moderat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,3.5,3.5
modern life is war - witness,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
modest mouse - building nothing out of something,,,,,,3.0,4.5,3.5,,,,4.5,,,,4.5,,,,,,,5.0,,,,3.5,,,,,4.0,,,,3.5,4.0,,,,,,3.5,,2.5,4.5,,,,,,,,,,,,,,4.5,,,4.5,,4.0,4.0,3.5,4.5,,,,,,,4.5,,3.0,,,,4.0,,,,,,,,3.0,,4.5,4.0,,3.5,,,,4.0,4.5,
modest mouse - good news for people who love bad news,,,3.0,,4.5,2.5,1.0,3.0,,,,4.0,,,3.5,,,3.0,1.5,,,,5.0,,4.0,,3.0,,,3.0,3.5,3.0,,,3.5,4.0,3.5,,,3.5,,,3.5,,,3.0,,,,,,,,,,3.5,,,,3.5,,3.5,,,3.0,3.5,3.5,3.5,,,,3.5,,3.0,3.5,,3.0,,2.5,2.5,3.0,,,,,,,,,,,,,3.0,,,,3.5,3.0,3.5
modest mouse - the lonesome crowded west,2.5,3.0,4.5,4.0,,3.5,5.0,3.5,,3.0,,4.5,,,4.0,5.0,,,3.5,,,,5.0,5.0,4.0,,4.5,3.5,,5.0,,3.5,,4.0,5.0,4.5,4.0,3.5,,4.5,,4.0,4.5,,4.0,4.5,,,,4.5,,,,,,2.5,3.0,3.5,4.0,4.0,,4.0,5.0,3.5,5.0,4.5,4.5,4.5,3.5,,4.5,4.5,,,4.0,3.5,3.5,4.0,,3.0,5.0,,,,3.5,2.5,3.5,,3.5,,5.0,4.5,4.5,4.5,,,,4.5,5.0,4.0
modest mouse - the moon & antarctica,4.0,,4.0,4.5,4.5,3.5,4.0,3.5,,,,4.0,,,4.0,3.5,,,3.5,3.5,,,5.0,,4.0,,3.0,4.0,,4.0,,3.5,,4.0,4.0,4.0,4.0,3.5,3.5,4.5,,,4.0,,2.5,4.5,,,,3.5,2.0,,,3.5,,4.0,3.0,,4.0,4.5,,4.0,4.5,,4.5,4.5,4.0,4.0,3.0,,,3.5,,3.0,4.5,3.5,3.0,4.0,,3.0,4.5,,4.5,,3.5,,3.5,,,3.0,4.5,3.0,4.0,4.5,,,,4.0,3.5,4.0
modest mouse - this is a long drive for someone with nothing to think about,,,4.0,4.0,4.0,3.0,4.5,3.5,,,,3.5,,,3.5,3.5,,,4.0,,,,4.5,4.0,4.0,,4.5,,,4.0,3.5,3.5,,4.0,3.5,4.0,4.5,,,4.0,,,,,,4.0,,,,,,,,,,,,,4.0,,,3.0,4.0,,4.5,3.5,3.5,3.5,,,,,,,3.5,3.0,,4.0,,,4.5,,,,2.5,,,,3.5,,4.5,4.0,4.0,3.5,,,,4.5,4.0,3.5
mogwai - mogwai young team,,,3.5,3.5,4.0,3.0,3.5,,,3.0,,4.0,,,,3.0,,,,,,3.5,4.0,,3.5,,,3.5,,4.0,,,,3.5,3.0,3.5,,2.5,4.0,4.0,,,,,1.5,,,,,,,,,,,,,4.0,,,,3.0,,2.5,3.0,3.5,3.5,,,,,3.0,,3.5,3.0,,3.5,,,,,,,,3.5,,3.0,,,,,2.5,,3.5,,,,,,4.0
mogwai - my father my king,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mohammad - som sakrifis,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
momus - circus maximus,3.5,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,3.5,,,,,,,,,,,
momus - tender pervert,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,3.0,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,3.5,,,,,,,,,,,,,,,,,,4.0,,,,,
monks - black monk time,,,,,5.0,5.0,,,,,,5.0,,,,3.0,,4.0,,,,3.5,4.5,,,3.5,,4.0,,,4.0,3.5,,4.0,3.0,,,2.5,,,,,,,2.5,,,,4.5,,4.5,,,,,4.0,,,,,,,4.0,,,4.0,,,4.5,,,,,3.0,,,4.5,,4.5,,3.5,,,,3.0,4.0,3.5,,3.5,,4.5,4.0,,,,,,5.0,,3.5
mono no aware - the shape of your head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
monokultur - ormens väg,,,,,,,,,,4.0,2.5,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moodymann - black mahogani,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,4.5,,,,,,,,,,
moon duo - circles,,,,,,3.5,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,
moondog - moondog,,,4.0,,,3.5,4.0,,,,,4.5,,,,3.5,,,,,,,,,4.5,,,4.0,,4.0,,4.0,,4.0,,,,2.5,,,,,,,,,,,,,4.0,,,4.0,,,,,,,,3.5,4.5,,4.0,4.0,4.0,,,,,,,,,,4.5,,,,,,,,4.0,,4.0,,,,4.5,,,4.0,,,,,4.0,4.0
moonshake - eva luna,,,,3.0,,4.5,,,,,,,,,,3.5,,,,,,,,,,,,2.5,,4.0,,3.5,,,3.5,4.0,,3.0,,4.0,,,,4.0,,3.0,,,4.5,,,,,,,,3.5,,,,,3.5,4.0,,4.0,3.5,,,4.0,,,,,,3.0,,,,,,,,,,3.5,,,,,2.5,,3.5,,4.0,,,,,2.0,4.0
moonshake - the sound your eyes can follow,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
moor jewelry - true opera,,,,,,3.5,,,,,3.0,3.5,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,3.5,,3.5,,,,,,3.0,3.5,,3.0,,,3.5,3.0,,,,3.0,3.0,,,,,,,,,4.0,,3.0,,3.5,,,,,,,,,,,,,
moor mother & billy woods - brass,,,,,,4.0,,,,,3.5,4.0,,,,,,,,4.0,,,4.0,,3.5,3.5,,,,,,4.0,,,,,,3.5,,,,,,,,,3.5,3.5,,3.5,,,,3.5,,3.0,,,,,,,,,,3.0,3.5,,,4.0,3.5,,,,,,,,,,,3.5,4.5,,4.0,,3.5,,,,,,,4.0,,,,,,3.5
mope grooves - desire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
mope grooves - joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,4.0,,,,,,,,
mope grooves - the waves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
morgen - morgen,,,,,,3.5,,,4.5,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
moro - san benito,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.5,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
morphine - cure for pain,,,,,,4.5,3.5,,,,,4.0,,,,3.5,,,,,,3.5,,,4.0,,,3.5,,3.0,,3.0,,,3.5,,,,,,,,4.0,,,,,,,,4.0,,,,,,4.0,,,,,,,,,3.5,3.0,,,,,,,,4.0,,3.5,,4.0,,,,,,2.5,,4.0,,,,,,,3.5,,,,,2.5,
morrissey - viva hate,,,,,4.0,,3.5,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,4.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,4.0,,,,,,3.5,,3.5,,,,,,,,,,,,,,4.5,,,,,,,,,
mort garson - mother earth's plantasia,3.5,3.5,,,,4.5,,,,,,,,,,,,,,4.0,,,,,4.0,3.5,,3.5,,3.5,,2.5,,4.0,3.5,3.0,,2.5,,,,,,,,3.5,,,,,,,3.0,,,,,,,,,4.0,5.0,,,,,,3.5,,,,,,,5.0,,,,3.5,,3.5,,,3.5,4.0,,4.0,3.0,,4.5,,,,,,,,4.0,
moses sumney - græ,,,,3.0,,,,,,,3.5,,,,4.0,,,,,3.5,,,3.5,,3.0,3.0,,,,,,,4.0,4.0,,3.5,,,,3.5,,,,,,,4.0,,,,,3.5,,,,4.0,,,,,,3.5,,,,,,3.0,,3.5,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.5,,,
mosquitoes - minus objects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,
moss icon - lyburnum wits end liberation fly,,,4.5,,,4.5,,,,,,3.5,,,,,,,,,,,,3.0,,,,,,3.5,,4.0,,,4.0,,,3.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.5,,,,,,,,,,,,,,,4.0,,,,,,,,,3.5,3.5,,,,4.0,,,,,,
mothers - render another ugly method,,,3.0,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,3.0,,,,,,,,,,,,3.0,,,,,,,3.5,,,,,,,,,,,3.0,,,,,,,4.0,
mothers - when you walk a long distance you are tired,,,4.0,4.0,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,4.5,
mount eerie - a crow looked at me,,3.0,4.5,4.0,,4.5,4.5,,,,3.0,4.5,,,4.5,4.5,,,3.0,4.5,,,4.5,,4.0,4.0,4.5,3.0,,2.5,,,,3.5,3.5,3.0,,3.5,,3.5,,,,,,,3.5,,,,,,,,,3.0,2.5,4.5,,,,3.5,2.5,,3.0,4.0,4.0,,2.5,,4.0,,,,3.0,,,,4.5,2.0,,,4.5,,3.0,,2.5,,,,,,3.5,3.5,,,,,4.0,4.0
mount eerie - no flashlight: songs of the fulfilled night,,3.0,3.5,,,,,,,,,,,,,,,,,4.0,,,,3.5,,,,3.0,,3.5,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,,,,,,,,3.5,,,3.0,3.0,,,,,,2.5,3.0,,,,2.5,4.5,,,3.5,,,,,,4.0
mount eerie with julie doiron & fred squire - lost wisdom,,3.0,4.5,,4.5,,,,,,,4.0,,,,3.5,,,,4.0,,,,,4.5,3.5,,3.5,,3.5,,,,,,,,3.5,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.5,,4.0,,4.0,,,,,,,,3.0,,,,4.0,3.0,,,,,3.0,3.5,,,,,,,3.5,5.0,,,,,4.5,4.0
mount kimbie - crooks & lovers,,,,,,3.5,,,,,,3.0,,,,,,,,,,,4.5,,3.5,,,,,3.0,3.5,,,,,,,,,,,,,,,,,,4.0,,,,3.5,,,,,,,,,3.5,,,,,,,,,,,,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
mr. bungle - california,2.0,,,,,4.5,,,,,,4.0,,,,4.0,,4.0,,,,,,4.0,3.0,3.5,,3.5,,4.0,,1.5,,4.0,2.5,3.5,,2.5,,2.5,,,,,,2.0,,,,,,,,,,,4.5,,3.5,,,3.0,4.5,2.5,3.5,4.0,3.5,,,,3.0,2.5,,,3.0,3.5,2.5,,,,4.5,,4.0,,3.5,,4.0,,,,,3.0,,,,,,,,
mr. bungle - disco volante,,,,,3.0,4.0,,,,,,4.5,,,,4.0,,,,,,,,,3.5,,,4.0,,,,,,,2.5,3.5,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,5.0,,4.0,,3.5,,,,,,,,,,,,,,4.0,,,,4.0,,3.5,,,,,,,,,,,,,
mr. bungle - mr. bungle,,,,,,4.0,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,3.0,,,,,4.0,,3.0,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,
muchy - terroromans,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,3.5,,,,,,3.5
mudhoney - superfuzz bigmuff,3.5,,,,,,,,,4.0,,,,,,3.5,,,,,,,,,,,,,,,,3.0,,,,,,2.5,,,,,,,,,,,,3.5,4.0,,,,,,,,,,,,3.5,,4.0,,3.0,,,,,,,,3.0,,4.0,,,,,,,,,,,,3.0,,,,,,,,,,,
mulatu astatke - éthiopiques 4: ethio jazz & musique instrumentale 1969-1974,,,,,,4.5,,,,,,4.5,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,4.5,3.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,3.5,,,,3.5,,,,,,
murcof - martes,,,,,,,,,,,,,,,,3.5,,,,,,,,,3.5,,,,,4.0,,,,,,,,2.5,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,3.5,3.5,,,,,,,,,4.0,,,,,,,,,,2.5,,,,,,,,3.5,4.5,,,,,,4.0
murmuüre - murmuüre,3.5,3.5,,,,4.0,,,,,,,,,,4.5,,,,,,,,,,4.0,,3.5,,3.5,,4.0,,,3.0,3.5,,,,4.5,,,,,4.0,,,,,,3.5,,,4.0,,,,,,,3.5,,4.0,2.5,3.5,,,,,,4.0,4.0,,3.5,,,,,,,,,4.5,,4.0,,3.5,,,4.0,,,,4.0,,,,,,
muslimgauze - mullah said,4.0,3.5,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,
mutant joe - operation chaos,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,3.5,,,,,,3.0,,,,,3.5,,,,,,,,,,,,,,,,,,,,
mutantes - a divina comédia ou ando meio desligado,3.5,,,,,5.0,,,,,,4.5,,,,,,,,,,,,,4.0,,,4.0,,,,4.0,,,,3.0,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,4.0,,,,,4.0,4.0,,,,,,,,,,,,,,
mutual benefit - love's crushing diamond,,,,4.0,,,,,,,,3.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
my bloody valentine - isn't anything,4.0,3.0,,4.0,4.0,5.0,5.0,3.5,,4.0,,4.0,,,,4.0,,,,3.5,,4.0,4.0,4.5,4.0,,,4.0,,3.5,4.5,3.0,,2.5,4.0,4.0,5.0,2.0,4.0,4.0,3.0,,,4.0,3.0,3.0,,,,4.0,3.5,,,,,4.5,4.0,4.0,,4.0,3.5,4.0,4.5,3.0,4.5,5.0,4.0,,4.0,,4.5,,,3.5,4.0,3.0,2.5,4.0,,2.5,3.5,,,,3.0,4.5,3.5,,3.5,3.0,4.5,4.5,5.0,4.0,4.0,,,3.5,3.5,4.0
my bloody valentine - loveless,4.5,3.5,4.0,5.0,4.0,5.0,5.0,4.0,,4.0,4.0,4.5,4.0,,4.0,5.0,4.5,4.5,4.5,4.0,,4.5,5.0,5.0,4.0,4.0,5.0,4.5,4.0,5.0,5.0,5.0,,4.5,5.0,3.5,,3.5,4.0,5.0,4.5,4.5,3.0,4.0,4.5,3.5,4.5,4.5,,5.0,3.5,4.5,4.0,5.0,5.0,5.0,4.5,4.5,,4.5,4.5,4.0,5.0,,5.0,5.0,5.0,,5.0,,5.0,3.0,,4.5,5.0,4.5,2.5,4.5,,4.0,3.5,3.5,,,3.0,4.5,4.5,,4.0,4.5,4.5,4.5,4.5,4.5,4.5,3.5,4.0,4.5,4.5,5.0
my bloody valentine - m b v,3.0,,,3.5,3.0,4.5,5.0,3.0,,,,4.5,,,,3.0,,,4.0,3.5,,,4.0,3.5,4.0,3.5,,3.5,,3.5,4.5,4.0,,4.0,3.5,3.0,3.5,2.5,,4.0,2.5,,,,3.5,3.5,,,4.5,,3.0,,,3.5,,4.5,3.5,3.0,,,3.5,,4.0,3.0,3.0,4.5,3.5,,2.5,,4.5,3.0,,3.0,4.5,,1.5,,,2.5,3.0,,,,2.0,2.5,3.5,,,2.5,4.5,3.5,,4.0,3.5,,,4.0,3.5,4.0
my bloody valentine - you made me realise,3.5,3.0,,4.0,,5.0,4.5,,4.5,4.0,,4.0,,,,5.0,,,3.0,,4.0,,,,4.5,,4.5,4.0,4.0,3.0,4.5,,,3.5,4.0,3.5,,3.5,4.5,,,,,4.0,,3.5,,3.5,,4.5,3.5,4.0,,,,4.5,4.0,,,,,4.0,3.5,3.0,4.0,4.5,4.0,,4.0,,4.5,,,3.5,4.0,4.5,3.5,4.0,,,,,,,3.5,4.5,4.0,,4.5,3.5,,,4.5,,4.0,3.5,,4.5,4.0,4.5
my dad is dead - ...and he's not gonna take it anymore,,,,,,,,,3.5,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"my dad is dead - the taller you are, the shorter you get",3.5,,,,,,,,,,,,,,,4.0,,4.0,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,,,,,,,,,,4.5,,3.5,,,,3.5,,3.5,,,,,,,,,,,,,
my disco - cancer,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
my disco - paradise,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
múm - yesterday was dramatic - today is ok,,,,,,4.5,,,,,,,,,,,,,,,,,4.5,,3.5,3.5,,,,3.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.5,3.5,3.5,4.5,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,
młody π - ani to zmiksowane ani na taśmie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,4.0,,,,,,,,,,,,,3.5,,,,,,,,,,,,
młody π - zdycham powoli ale konsekwentnie ep,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3.5,,,,,,3.0
n0v3l - non-fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nac/hut report - dom 1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nag - observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,
nail polish - authentic living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
nails - unsilent death,,,,,,4.0,4.0,,3.5,,,,,,,4.0,,,,,,,,4.0,,4.0,,3.5,,3.5,3.5,,,,,,,4.0,,3.5,,,,,,,,,,,,,,,,,,,,3.5,,,3.5,,,3.0,,,,,,,,3.0,,,,,,3.0,,,4.0,,3.5,,4.0,,,3.0,,,,,,,,,,4.0
naked flames - 247 365,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
naked flames - binc rinse repeat,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,3.5,,,,,,,,,3.0,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,
